id,title,owner_id,description,price,city,state,country,tag_line,address,postcode,latitude,longitude,guests,bedrooms,beds,baths,pets,url
1,"Luxury stay in Beverly Hills, California, United States",13,"This ultra-modern abode is surrounded by nature in coveted Beverly Hills. High ceilings and an abundance of light create an airy atmosphere inside. Multiple crackling fireplaces add a soothing ambiance to the immaculately designed rooms. After a day of sightseeing, mix a drink at the bar before sprawling out with a favorite flick in the cinema room. Plenty of canyon hiking trails await nearby.",4000,Los Angeles,CA,USA,Oasis in Beverly Hills,542 Park Street,94107,34.1219051,-118.4169302,5,2,3,2,TRUE,
2,Angler's Lakeside Tent Cabin Getaway,20,"Enjoy the lovely setting of this romantic spot in nature. Lakeside living meets Eastern Sierra mountain views in this Anglers' Tent Cabin Getaway. Opt to leave your tent at home to stay in this top-notch furnished tent cabin. Complete with solar power, BBQ grill, palapa umbrella, fire pit, and an outdoor picnic table you will enjoy an exceptional glamping experience.
The space
What's included:

Each tent cabin is complete with a queen-size bed, assorted furniture, a propane grill, an outdoor seating area with a palapa umbrella, and a firepit for ease of lakeside living. Enjoy renewable energy from solar panels for lights, charging phones, cameras, and laptops. (Our solar cannot support any appliances such as coffee pots, blenders, or hot water heaters). Tents also come with 2 pillows, a comforter, and clean sheets.

What to bring:

Similar to other camping experiences, you must provide your own cooler for food storage, and any cooking and eating utensils.
Guest access
Bathrooms and Potable Water are located 75 feet away from the tent cabins.
Hot showers are available for $4 each, and Laundry is available for $5 per load to wash and dry.

Our Office & Store is open Monday through Saturday 6am - 6pm & Sunday 6am - 5pm. Fishing supplies, personal items, ice cream, non-perishable foods, firewood, ice, souvenirs, and more are available for purchase!

Looking to fish and cruise around the lake? You're in luck! We have a fleet of excellent rentals ready for you and your friends to get out on the water. Paddle sports are $15 for 2 hours. Please message us for more information on motorboats.
Other things to note
About Us: Welcome to Bridgeport Reservoir Marina and Campground. Join us for the classic camping and fishing experience with unique views of the Sierra Nevada Mountain Range. Within the Toiyabe National Forest, Bridgeport Reservoir Marina and Campground is conveniently located near two distinct hot spring areas. A true angler's paradise, the Reservoir has excellent trout fishing from spring through fall and is close by to multiple rivers for incredible fly fishing. A short 30-minute drive to Tioga pass will bring you straight into the heart of Yosemite National Park. Off-road enthusiasts will have a heyday will the plethora of 4x4 trails in the area as well as the famous trail that brings you right to the Bodie Ghost Town.

Climate & Ecosystem: At 6,400 feet (1,950 meters), this high desert climate has little to moderate tree coverage and gets hot during the days and cool at night. The conditions are much like Joshua Tree National Park or Alabama Hills camping area. During your visit, you will notice many flying insects that resemble mosquitos. These Chironomidae are harmless and do not bite. On the contrary, the mosquito presence is very minimal.

Lake Levels: Due to this devastating drought across California and the Western United States, reservoir levels are low. As of August 1st, 2022, Bridgeport Reservoir is approximately 10 feet below normal. Swimming is not advisable at this time, but fishing and boating activities are still up and running.

Are you visiting Yosemite National Park? Please see these highlights from the Yosemite NP Website:

1.Reservations will once again be required to enter Yosemite National Park from May 20th to September 30th, 2022 during the hours of 6am to 4pm. 2.Visitors entering the park outside of those peak hours are not required to have a reservation. (Park entry fees still apply).
3.All YARTS bus riders have the park entry fee included in their fare so a reservation is not required. The YARTS bus leaves from Mammoth Lakes, June Lake, and Lee Vining daily from June 15th to October 15th, 2022, (pending Tioga Pass opening). YARTS tickets can be purchased same-day with the bus driver or reserved in advance at the YARTS website.
4.Through traffic (east-west travelers who are not stopping or visiting the park but simply driving over Tioga Pass to another destination) will also need a reservation if entering during peak hour times. (Park entry fees still apply).
5.Visitors can make reservations to enter Yosemite National Park for this summer at the Yosemite NP Website",55,Bridgeport,CT,USA,Lakeside glamping,2877 Delaware Avenue,94112,41.1792258,-73.1894384,2,1,1,1,FALSE,https://www.airbnb.com/rooms/676973651361043142?adults=1&category_tag=Tag%3A634&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1453999783&search_mode=flex_destinations_search&check_in=2023-10-01&check_out=2023-10-06&source_impression_id=p3_1692383220_ffptyUVZF1Dt1%2BD7&previous_page_section_name=1000&federated_search_id=c6e626c5-d78c-4684-bde7-e0b09d061b70 
3,CA Desert Glamp: Palomar Views & Wildlife,2,"A sanctuary in a Californian desert, tucked in between rolling hills with majestic views of Mount Palomar & 360 degree views of natural surroundings. We are only thirty minutes away from beautiful Temecula Wine Country! Come and explore the land to see its natural treasures; wildlife, flora, boulders, cacti, white sage, oak trees, thousands of redshank trees, willows and manzanita. Rent a fully setup VIP Glamping tent with a memory foam bed for two people.
The space
Located between Redshank forest trails, boulders & majestic 360 degree views of Palomar Mountain State Park make this place Magic!

Perfect for anybody who wishes to have a truly unique glamping experience!

We are located only thirty minutes away from beautiful Temecula Wine Country where you can enjoy wine tasting or go on a winery tour.
There is an array of activities that you can do in the area that include hot-air ballooning, hiking, horse-back riding, bicycling, and more! Old Town Temecula is definitely worth a visit where you can enjoy lunch, check out a local brewery, or spend the afternoon shopping.
Our property is also located right next to Palomar Mountain State Park where you can enjoy the hiking trails and views of this unique landscape from our location.
Elim Hot Springs is just a twenty minute drive away where you can relax and enjoy the various pools and medicinal waters.
Guest access
This is Glampifi Tent #7. This is ideal for booking a more remote experience on the property. There are six identical glamping tents on the grounds varying in seclusion. If you would like more of a communal experience please book either Tent#3 or Tent#4. Tent#1 is the most secluded on the property. If you would like to inquire about one of the other tents please send us a message!
Please check the map (the last photo on the listing) to see an overall view of the tent locations and guest amenities.

If bringing an additional guest we can provide an extra mattress for $20 per night.
Other things to note
Our team lives to create magical experiences. We have a calendar of activities and special events which include: secret dinner shows, live music, cooking and art classes, sound baths and all sorts of wellness activities! We are both trained in holistic health and live it on a daily basis. We have focused on building a magical off-grid wilderness retreat in the Agua Tibia Wilderness that offers eco-conscious travelers a chance to experience a weekend of peace, connection, and grounding.

Enhance your stay with one of our immersive experiences, available as add-ons. If you are interested, please inquire!

We also have other fun activities on-site which include: giant jenga, badminton, cornhole, and duck duck goose.

Don´t forget to bring an extra blanket when weather conditions are cold!

Designated fire pits are for use setup in the social areas. There is also firewood onsite to use. Always keep fire contained and door or lid secured and closed.

Bring your binoculars/camera for exotic wild animals that can be seen. As well as musical instruments and talent gear for communal circles.",144,Aguanga,CA,USA,Mountain views,1925 Park Street,94107,33.442702,-116.8651224,2,1,2,1,FALSE,https://www.airbnb.com/rooms/853664702223427333?adults=1&category_tag=Tag%3A634&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1616756507&search_mode=flex_destinations_search&check_in=2023-12-31&check_out=2024-01-05&source_impression_id=p3_1692383592_rmkrs%2Fbx7z32but1&previous_page_section_name=1000&federated_search_id=7fd4abdb-b057-4f93-965f-be82e84c085c 
4,Sonoma Coast•Arch•Estate•Dramatic Ocean Vus,19,"Sonoma Coast is a Frank Lloyd Wright inspired modern California Ranch w/ subtle Prairie & International architectural design; perched on a promontory overlooking cove w/ jaw dropping ocean views and mesmerizing - audible crashing white water waves. Complete with spa, BBQ, dry/wet sauna, chefs kitchen, lux bedding and linens, Le Creuset crockery, Mauviel stainless steel cookware, Viking appliances, Wolf small kitchen appliances, Jura Espresso Machine with frother, WIFI, streaming Roku & Alexa .
The space
Featured in Coastal Living Fall Edition 2020
TOT Certificate No. # 3773N.
Sonoma Coast is a thoughtfully and forward thinking architectural home originally built for a prominent local wine family whom, spared no expense to maximize privacy, views and lighting. The house also has many outdoor areas to enjoy such as a 36"" gas BBQ grilling station with outdoor bar/island, dining table with overhead party lights, hammock, picnic tables with overhead party lights, conversation seating clusters and quiet spaces for personal meditation. Our kitchen has been extensively set up with professional grade appliances, gadgets and chef essentials from Sur La Table so any home chef can easily and properly plan elaborate menus. We've paid special attention to bedding and linens by supplying soft and fluffy high thread counts, choice of soft-medium-firm pillows and all beds are Room and Board's Hybrid Mattress' that sleep cool and offer modern technology for breathability and support. All rooms have been carefully and thoughtfully designed for functionality, comfort and of course, style.
Perfect for digital detoxes, romantic getaways, wine tasting excursions, touring or a active outdoor life with hiking or biking. Each vignette inside the home has been thoughtfully and carefully designed to maximize comfort, style and utility while taking advantage of SWEEPING VIEWS from every room.
Guest access
Full access to entire home and grounds with self access / lockbox codes. Access info is given upon confirmation of final payment and included with your Vacation Rental Agreement and Property Disclosures. Additionally, our Property Manager will meet you and orientate you to the property and how to operate appliances, TVs, remotes and answer any questions.
There is no beach access from the house but is close by at Salt Point State Park, Stillwater Cove Regional Park, Fort Ross or Timber Cove Boat Landing.
Other things to note
We have staged Sonoma Coast as if we were living there full time and have added many of the smart home gadgets to make life easier. WIFI, Streaming Roku video options, Alexa towers and interior/exterior sound systems. Additionally, our home is oriented South /West making it a warm and sunny cove.
*Sonoma County Taxes of 9% to be added to all stays under 30 days.
*This property is not suitable for small children or young adventurers as we are located on a very high bluff without guards or railings.
*Property is located within a wildlife and fire zones.
*There is no beach access from the house but is close by at Salt Point State Park, Stillwater Cove Regional Park, Fort Ross or Timber Cove Boat Landing.
* PAYMENT: An advanced payment of the rental rate, taxes, fees and a $500 refundable security deposit are due before arrival and paid through Airbnb.
*TAXES: Included in rent. Rentals less than 30 days must pay 9% Sonoma County Rental Tax based on rents and fees.
*DEPOSIT: The $1000.00 Security Deposit is refundable provided that the RENTAL RULES AND POLICIES provisions are met.
*CHILDREN: Sonoma Coast house is not at all suitable for small children (the bluff top is not fenced, no pool alarms, no pool & spa fence, loft, open fireplace and wild critters)
*2 NIGHT MINIMUM",1499,Concord,CA,USA,Ocean views,3460 Meadow Lane,94103,37.9614301,-122.0434325,6,3,3,4.5,TRUE,https://www.airbnb.com/rooms/41538962?adults=1&category_tag=Tag%3A8528&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=949287325&search_mode=flex_destinations_search&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692383821_wOnhPTfLSWVjbOTN&previous_page_section_name=1000&federated_search_id=77a28785-6d4b-4970-a20b-ea30082309dd 
5,Mini-Mod #3 at The Sea Ranch.,11,"Despite accolades from esteemed international design and travel publications (which it has from Monocle, Dwell, Travel + Leisure and many more), this perfectly designed and laid out home isn’t about pomp; it’s about simplicity and reliance upon the natural environment that surrounds it. That was the point when it, and a handful of others, were built in the mid 1960’s to showcase Northern California’s famed Sea Ranch project —and the way humans might one day find a better way to live with nature.
The space
The house, dubbed MiniMod #3, was designed by acclaimed mid-century architect Joseph Esherick. It’s set privately in coastal forestlands beneath towering redwoods, with no adjacent neighbors in sight. Inside, 684 square feet are divided among three open floors, with original architectural features and mid-century furnishings orchestrated by award-winning preservation architects, Framestudio. The two bedrooms (one of which with a door for privacy), efficient yet well-appointed kitchen (with dishwasher), full bathroom (with a full tub and shower), and 110 mbps internet ensure the space can flex to accommodate a number of needs from work to relaxation. From every point in the structure, forest-filtered light seeps through picture windows, gently reminding you of the natural wonders outside — or the private hot tub, set under a canopy of redwoods.

The space, perfect for a couple or two and small families of up to four, can’t answer for the chaos elsewhere in the world, but it can answer for your comfort and daily routine while you’re within its walls or exploring the towering redwoods or the craggy Pacific coast beyond.

Come experience the MiniMod #3 and discover life as it should be: beautifully simplified.
Other things to note
A few things to note:
• The Mini-Mod is an architecturally significant tiny house, built in 1968 as one of the original demonstration (model) homes by the developer of the Sea Ranch. It is best suited for those who appreciate it's history and respect it's age and fragility.
• Well-behaved children are welcome, however the original staircase is hazardous to small children.
• Children who misbehave may be abducted by the local Sasquatch. The same has occasionally applied to adults.
• There is a strict one dog limit.
• Along with the romantic open fireplace, come the smells of woodsmoke. If you are sensitive to scents, please be advised. Firewood and starters are provided.
• The redwood forest is home to all manner of creepy crawlies. Occasionally, they do get inside the cabin.
• Because of the remoteness of the Sea Ranch, power outages can occur during all seasons.
• We offer a 120V outlet for car charging.
• No photo shoots or events without preauthorization.",429,Sea Ranch,CA,USA,Architecturally significant,647 Sea Ranch Dr,93109,34.414079,-119.755388,4,2,3,1,FALSE,https://www.airbnb.com/rooms/665478702415015675?adults=1&category_tag=Tag%3A8528&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1442016864&search_mode=flex_destinations_search&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692383821_3jmI32tUtQhs5tXK&previous_page_section_name=1000&federated_search_id=77a28785-6d4b-4970-a20b-ea30082309dd 
6,BAY VIEW BUNGALOW ON WATERFRONT 15 MIN 2 GG BRIDGE,10,"FANTASTIC STUDIO BUNGALOW TUCKED ON A SECLUDED WATERFRONT ENCLAVE! ONE LARGE ROOM & SEPARATE BATH. SUPER COMFY ADJUSTABLE QUEEN BED. DECK WITH DIRECT ACCESS TO THE BAY. SPECTACULAR VIEWS!
MAX. 2 GUESTS-MUST BE IDENTIFIED AT BOOKING. (NO KITCHEN-Kitchenette only, see details below).
NO SMOKING (Entire property inside & exterior is non-smoking). No children under 12 yrs. NO PETS.
50+ STEPS To Unit / There is NO DISABLED ACCESS.
**MAXIMUM STAY IS 5 NIGHTS** (Sorry, but No Exceptions).
The space
The soothing sound of waves, spectacular view of the bay and gorgeously decorated Studio is the perfect getaway for a wonderful vacation! The scenery is amazing and the unit is spacious. It's located right on a private beach, (3 steps away!). THERE IS NO KITCHEN, SINK, STOVE/OVEN, COUNTER or cooking facilities, there is a Microwave, Mini-Fridge, Toaster & Coffee Maker (Mr. Coffee). Cooking, (hotplates, etc), are NOT allowed in this unit.
**MAX. 2 GUESTS. Only the 1 Queen Bed may be used for sleeping, no sleeping on the furniture or floor.
**GUESTS MUST have at least 1 REVIEW and be 23 yrs or older to submit a Reservation Request. Very sorry, but if under 23 with no reviews, we cannot accept your reservation request.
**MAXIMUM STAY IS FIVE (5) NIGHTS**

***PLEASE NOTE- IMPORTANT**
Since the Unit is in close proximity to neighbors on both sides and homes directly above, we ask that guests please be aware of the noise level, especially if outside, after 10 pm on weeknights, 11 pm on weekends and early in the morning before 8am.
The maximum amount of guests for this unit is TWO (2).
NO VISITORS are allowed without prior written consent by owner. Only those guests identified at the time of booking are allowed at the property.
While we want everyone to enjoy themselves, excessive drinking, loud noise/music or anything causing disturbance to neighbors or other guests, are not permitted. If guests are in violation of this property rule, they may be required to leave the premises, Airbnb will be notified and no refunds will be given. Should any situation become unruly or out of control, the police will be called to remove all guests from the property. NO EVENTS or GATHERINGS.

If you are looking for a “PARTY HOUSE"", unfortunately this property will not suit your needs. While we certainly encourage our guests to enjoy their stay...we must also insist that no one in the area is disturbed by excessive or loud noise, partying, drinking or any type of behavior that would prevent neighbors from a peaceful enjoyment of their homes before or after ""reasonable hours"".

***THIS IS A NON-SMOKING PROPERTY*** Smoking NOT ALLOWED ANYWHERE, including patios, decks, walkways, stairs, beach area or any part of the property - smokers must go all the way up to the sidewalk away from the property to smoke.

***There is no off-street parking space for this unit and no street parking right at the property. Parking spots are limited, however, there is more street parking further down the hill and on the cross street of Marine Dr. (less than 1 block away). Property Mgr will discuss parking in more detail after guest's reserve the unit and are contacted approx. 1-2 weeks prior to arrival.

**NO PETS ** If you have an ESA or Service Animal, please indicate if you require your service animal due to a disability and what work or task the service animal is trained to perform.
Please note that the ESA or Service Animal must be with you at all times during your visit, (they cannot be left unattended or out of your control). Additionally, since we have other units on the property, your ESA or Service Animal cannot cause any disturbance or harm to other guests or neighbors.
Because animals produce dander, hair, and the occasional accident, we may impose additional Cleaning Fees, only if needed, after your check-out and once the housekeeper has entered to clean and prepare the unit. Additional fees will only be charged if there is damage or excessive cleaning required and we will document this with photos and details to Airbnb.

***NO BBQ's, GRILLS, FIRE PITS, etc. No outside Fires allowed at any time.***

GARDENERS come on SATURDAYS and arrive anytime between 10am-5pm.
ALSO, NO DRUGS OR WEAPONS OF ANY KIND ALLOWED. ALL PROPERTY RULES STRICTLY ENFORCED. Thank You.
Other things to note
**Please be advised there are many steps from street level to the property and no form of disabled access is available. ** ENTIRE PROPERTY IS NON-SMOKING. NO PETS.
There is no private or reserved parking for this unit Street parking only, (please do not block anyone's driveways or property). There is normally street parking within 1 short block of this unit. (Please park south of the property, not above the property).",173,San Rafael,CA,USA,Waterfront bungalow,349 Locust View Drive,94108,37.97513,-122.50718,2,1,1,1,FALSE,https://www.airbnb.com/rooms/30066792?adults=1&category_tag=Tag%3A8536&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=636124652&search_mode=flex_destinations_search&check_in=2023-11-14&check_out=2023-11-19&source_impression_id=p3_1692384158_WbrS9S8UHydmVvGP&previous_page_section_name=1000&federated_search_id=3d6739ae-b58c-4b66-a4cd-74608188ba1a 
7,Waterfront with extraordinary view,3,"One of the 10 most wishlisted homes on Airbnb ever as shown in Airbnb's article ""Where Everybody Wants to Stay: 10 of Our Most Wish Listed Homes"" https://press.airbnb.com/10-year-most-wishlisted-homes/

Right next to the Perast museum, our studio apartment has a spacious terrace with a magnificent view on the two most beautiful attractions of the Bay of Kotor: islands of Sv. Đorđe and Lady of the rocks.
The space
Right next to the Perast museum, our studio apartment has a spacious terrace with a magnificent view on the two most beautiful attractions of the Bay of Kotor: islands of Sv Đorđe and Lady of the rocks.

This charming, rustic studio apartment has a large private terrace with extraordinary view of the islands, equipped with outside dining table so you can enjoy your meals al fresco with a view. It is located right on the waterfront. There is one double bed and one sofa which is easily expandable to a double bed, so the apartment is perfect for couples or families with children. The bathroom is located downstairs, down a spiral staircase.

The kitchen is fully equipped with all the kitchenware and dishwasher. Necessary amenities like washing machine, iron and ironing board, air conditioner etc. are provided. Baby crib can be available upon request.

The apartment was completely renovated in January 2020.
Guest access
Guests have access to all utilities in the apartment.
Other things to note
The visitors should register their stay on the premises of the Tourists Organization of Kotor no later than 24 hours from their entry into Montenegro if they visit is shorter than 30days, and pay tourist tax.",76,Kotor,Kotor Municipality,Montenegro,Views of Bay of Kotor's islands,3655 Boring Lane,94108,42.424662,18.771234,4,1,2,1,TRUE,https://www.airbnb.com/rooms/2791283?adults=1&category_tag=Tag%3A8661&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=23126513&search_mode=flex_destinations_search&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1692405094_BQBIBQwAtLIroHMS&previous_page_section_name=1000&federated_search_id=7db51a35-cd00-4e0f-b2fd-ca61f255b1f2 
8,"Beautiful views, newly furnished! Minutes to SF! ",18,"Be ready to feel at home in this peaceful, Daly City retreat. Our home has been newly furnished with your comfort in mind and you'll find this is the perfect space for families, friends and working professionals alike. Enjoy one of our brand new mattresses in our queen master suite with attached bath and 50"" smart TV, queen guest room with 50"" smart TV or the twin room with work space. This centrally located getaway is just 15 mins to SFO, 10 mins to the beach/hiking and 20 mins to downtown SF.
The space
Enjoy our spacious 3 bedroom, 2 1/2 bath home with brand new furnishings, appliances and memory foam mattresses. Conveniently located just minutes off the freeway, in a densely populated community of both families and working professionals. In less than ten minutes you can be hiking to the beach or jumping on Bart and heading into the city. Numerous restaurants and popular shopping centers are just blocks away.

You will be given two codes to use upon arrival. One is for the front door and one is for the keypad on the outside of the garage. We ask that you please park inside the garage and limit driveway parking to one vehicle. Inside the home connect to our high speed WiFi and get settled.

The main floor of the home features a bright and spacious living room with wall to wall windows, a large wrap around sofa that comfortably seats four adults and a TV projector for movie nights! Get a book from the bookshelf and grab a seat at the bistro table outside on the deck. Get ready to relax and soak in the beautiful mountain views. Our kitchen comes fully equipped and offers just what you need for a family dinner night with a dining room that seats four. Enjoy our coffee station in the mornings complete with an array of teas, coffee pods, non-dairy creamer and sugar. The front nook space is set up as a semi private work space complete with a monitor and adapters for all your devices. This floor also has a half bath and extra closet space if needed.

The second level has Three bedrooms and two bathrooms. All of our bedrooms have brand new mattresses and blackout curtains so rest assured you'll have a great nights sleep.

The master bedroom has a queen size bed, 50"" smart TV, large mirrored closet and an in-room vanity. Attached to the vanity is your private bathroom with a large tub and shower. The bathroom will be stocked with plenty of hand towels, washcloths and bath towels. Shampoo, conditioner and body wash is provided.

The first guest room is at the end of the hall and has a queen size mattress with a remote controlled adjustable frame, 50"" smart TV and mirrored closet.


The twin room has an extra long mattress with a remote controlled adjustable frame, working desk space and clothing rack for your belongings.

In the guest bathroom you'll find a blow dryer and first aid kit. The shower will be stocked with shampoo, body wash and conditioner. Under the sink you will find plenty of towels and washcloths.
Guest access
You'll have full access to the home, two car garage and outdoor deck.
Other things to note
The home itself shares walls with neighbors on either side so please be mindful.",198,Daly City,CA,USA,Mountain views,941 Clifford Street,94621,37.6879241,-122.4702079,6,3,3,2.5,FALSE,https://www.airbnb.com/rooms/912671215013828683?check_in=2023-09-11&check_out=2023-09-26&source_impression_id=p3_1692405323_Mj%2F3Wi1jvvWiGpQG&previous_page_section_name=1000&federated_search_id=a1982d1e-3443-43d3-a09b-64f21b5b28b5
9,Walk to the Beach from this Ocean Front Home,5,"Your beachfront escape awaits you.

Come immerse yourself in the serenity of this Pacific Ocean retreat gracefully set in a secluded beach just 25 mins south of San Francisco.

This 2 bed / 2 bath home features breathtaking ocean views and direct beach access just a few steps down. The hot tub overlooking the ocean, fire pits and a putting green complete this idyllic space.

Comfortably sleeps 4 adults on 2 king beds and 2 high quality airbeds are provided for total sleeping for 6.",1087,Moss Beach,CA,USA,Direct beach access,178 Meadowbrook Mall Road,90046,37.5274401,-122.5133117,6,2,2,2,FALSE,https://www.airbnb.com/rooms/44106940?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1054562127&search_mode=flex_destinations_search&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692405494_%2BogSdanfwNLfnFV%2F&previous_page_section_name=1000&federated_search_id=24d51f90-986b-41e4-ad2f-3bb10d30371c
10,Treehouse on the Water-Eagles Nest-20 ft high,17,"Soar 20 ft in the trees as you overlook the Strait of Juan de Fuca. Relax as you lounge in the giant window seat mesmerized by the ships sailing in the harbor & eagles flying across your window, as your children play in the playground below. Or spend time swaying in the canvas hammock hung from the tree growing through the house. Languish in the rope hammock in the loft. Every part of our treehouse is unique -you will find yourself wanting to unplug and enjoy every aspect of the house.
The space
So many spaces in this treehouse to relax, reconnect, recharge, enjoy the beauty of the surrounding, listen to music on the Bose system or records, or cook in the fully equipped kitchen or BBQ. The fire heated hot tub is a wonderful experience. If you want to venture down to the ground you can make a fire, soak in the fire-powered hot tub, or sit on the many sitting areas at the bluff.

Additionally, there is a playground for children on the property.

Please note that this unit is attached to a smaller unit that 2 people may be renting. They have their own entrance and you should not ever see them-your windows and porches are very private.
Guest access
You will be able to access the entire treehouse, as well as the shared property below. As mentioned, there is another unit attached to this one, and there is common outdoors area with firepits. The hot tub is yours and yours alone.
Other things to note
There is a house being built next door-you cannot see it from the treehouse and with a little music in the background (if they are making any noise) you will not even know its there.
We do allow pets for a fee and if you abide by the rules",779,Port Angeles,WA,USA,Hot tub with views,4598 Providence Lane,91706,48.118146,-123.4307413,6,2,3,1,TRUE,https://www.airbnb.com/rooms/46109666?adults=1&category_tag=Tag%3A8188&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1096146156&search_mode=flex_destinations_search&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1692405684_fLeBdBqvdQy5rGbx&previous_page_section_name=1000&federated_search_id=8c571512-238a-4f40-8adc-15b82156a80f  
